dark+clean_gas_11,dark+clean_gas_5,dark+clean_gas_7,light+clean_gas_11,light+clean_gas_14,light+clean_gas_5,light+clean_gas_7,light+used_gas_11,light+used_gas_5,light+used_gas_7,ocean_0
[Eubacterium]_coprostanoligenes_group,0,0,0,0,0,0,0,0,0,0,0.000949226405216554
AB1,0,0.000517147343368724,0,0,0,0.000817786311026677,0.000375536779125542,0,0,0,0
Acanthopleuribacter,0,0,0,0,0,0,0.000220474995896136,0,0,0.000485413370847755,0
Acetobacterium,0,0,0,0,0,0,0,0,0,0,0.000216389742840882
Aequorivita,0.00183226907542167,0,0,0,0,0,0,0,0,0,0
Aestuariibacter,0,0,0,0,0,0,0.00101746776970135,0,0,0.000459802363144514,0
Aestuariicoccus,0.000597680428976281,0.0161240505203544,0,0,0,0,0,0,0.000482613375324851,0,0.00195635661620821
Aestuariihabitans,0,0,0,0,0,0,0,0,0.00160163606702691,0.000469024990064961,0
Aestuariimonas,0,0,0,0,0,0,0,0,0,0,0.000312261678633885
Ahrensia,0,0,0,0.00124852683825325,0,0,0.000275593744868915,0.00173332737105736,0,0,0
Albimonas,0.00294480945994367,0.00182857268002338,0.00134552414438669,0,0,0,0,0,0,0.000399842571087653,0
Albirhodobacter,0.000401609467198787,0.000432162612323418,0,0.000447610398730647,0,0,0.000279316025180979,0,0,0,0.000159261434761924
Alcanivorax,0.00201167553247652,0.00384425445941184,0.00212449670211113,0,0,0,0,0,0,0,0
Algicola,0,0,0,0,0.00389535912850209,0,0.0198681340071702,0,0,0,0.000130578114931431
Algoriella,0,0,0,0,0,0,0,0,0,0,0.000642694555986474
Algoriphagus,0,0,0,0,0,0,0.000167571108367498,0,0,0,9.32700820939446e-05
Aliiglaciecola,0,0,0,0,0,0.00111325480042734,0.000464646783092125,0,0.000613146439333693,0.000988631319233671,0
Alkaliflexus,0,0,0,0,0,0,0,0,0,0,0.00125482317308293
Alteromonadaceae,0,0.000249552840460897,0,0,0,0,0,0,0,0.000771584224606266,0
Alteromonas,0,0,0,0,0,0.00230475571628823,0.000793708637187134,0,0.0057314209088545,0.0143844548189603,0.000100805183604275
Amylibacter,0,0,0,0,0,0,0,0,0.000591845741002714,0,0.00107436208906289
Anaerovorax,0,0,0,0,0,0,0,0,0,0,0.000651586347307108
Antarctobacter,0.00200901683453249,0.0028121980534007,0,0,0,0,0,0,0,0,8.11669709971412e-05
Aphanizomenon_NIES81,0,0,0,0.00242964398851121,0,0,0,0.00284966197646421,0,0,0
